  ,Literal Meaning,Non-Literal Meaning,Is compositional,,NEW Literal Meaning,NEW Non-Literal Meaning,Non-Literal Meaning Added,Comments,NEW Literal Meaning (2),NEW Non-Literal Meaning  (2),Non-Literal Meaning Added  (2),Comments,
centro comercial,aglomerado de lojas,shopping,,,,,,"Unlike to what I've put in the system, there is no ""other"" meaning.",,,,,0
centro espírita,centro religioso,,,,,None,,,,,,,1
cerca viva,vedação ativa,cerca de plantas,,,,,,,,,,,0
céu aberto,firmamento acessível,ar livre,,,,,céu limpo,,,,,,0
cheiro-verde,odor esverdeado,tempero,,,,,,Only used in its non-literal meaning,,,,,0
circuito integrado,contorno incluído,chip,,,,circuito,,,,,,,0
círculo vicioso,circunferência viciada,ciclo vicioso,,,,,,It is only used in its non-literal meaning,,,,,0
círculo virtuoso,circunferência honrada,ciclo virtuoso,,,,,,Only used in its non-literal meaning,,,,,0
classe executiva,categoria administradora,primeira classe,,,,,,The non-literal meaning isn't the exact meaning of the idiom,,,,,0
colégio militar,escola bélica,escola militar,,,,,,,,,,,0
coluna social,pilar comunitário,coluna de fofoca,I,,,,,There are no sentences ,,,,,0
comida caseira,comida feita em casa,,,,,None,,,,,,,1
companhia aérea,empresa aérea,,,,,None,,,,,,,1
conta-corrente,contagem ordinária,conta bancária,,,,,,,,,,,0
coração partido,alma quebrada,decepção amorosa,,,,,situação triste,,,,,,0
corda bamba,cabo lasso,situação delicada,,,cabo solto,,,,,,,,0
cordas vocais,estes são cabos orais,estas são pregas vocais,,,,,,Only used in its non-literal meaning,,,,,0
curto-circuito,contorno limitado,problema elétrico,,,,,colapso,,,,,,0
deputado federal,representante federalista,,,,,None,,,,,,,1
desfile militar,parada militar,,,,,None,,,,,,,1
direitos humanos,estes são benefícios humanais,estes são direitos,,,,,,,,,,,0
disco rígido,círculo rijo,hd,,,,,,,,,,,0
disco voador,círculo voante,ovni,,,,,,,,,,,0
efeito especial,execução incomum,efeito,,,,efeitos de imagem e som,,,,,,,0
elefante branco,paquiderme alvo,inútil,,,,obras públicas sem utilidade,,,,,,,0
escada rolante,escada automática,,,,,None,,,,,,,1
estrela cadente,astro descente,meteoro,,,,,decadente,,,,,,0
exame clínico,exame médico,,,,,None,,"The non-literal and the literal meaning are pretty similar, is hard to identify the difference in sentences, altough the non-literal meaning sounds more common to use/speak.",,,,,1
exame laboratorial,exame de laboratório,,,,,None,,,,,,,1
farinha integral,farinha,,,,,None,,,,,,,1
febre amarela,pirexia amarelada,doença,,,,,,It's only used in it's non-literal meaning.,,,,,0
ficha limpa,registro impoluto,honestidade,,,,,legislação brasileira,,,,,,0
fila indiana,linha índia,fila,,,,,,,,,,,0
fio condutor,cordão transmissor,tema principal,,,,,,,,,,,0
força bruta,potência crua,violência,,,,,tentativa e erro,Found examples with hyphen for the non-literal meaning added.,,,,,0
gato-pingado,felino chuviscado,pessoa,,,,,,"More common without the hyphen, with the same meaning.",,,,,0
gelo-seco,geada enxuta,fumaça,,,,,gelo,"More common without the hyphen, with the same meaning. I didn't find sentences with the literal meaning, just with the non-literals.",,,,,0
golpe baixo,batida inferior,golpe sujo,,,,,,,,,,,0
governo federal,governo,,,,,None,,,,,,,1
gripe aviária,constipação aviculária,gripe,,,,,,,,,,,0
gripe suína,constipação porcina,h1n1,,,,,,,,,,,0
guarda-florestal,guarda da floresta,,I,,,None,órgão vigilante,,,,,,1
jogo duro,partida rígida,este é o difícil,,,,,manobra política,,,,,,0
juízo final,julgamento último,apocalipse,,,,,,,,,,,0
leite integral,laticínio íntegro,leite,,,,,,,,,,,0
lista negra,listagem preta,lista de coisas ruins,I,,,,,,,,,,0
livre-docente,professor liberto,professor,,,,,título acadêmico,,,,,,0
livro aberto,volume acessível,este é transparente,,,,,,,,,,,0
longa data,época comprida,isto é muito tempo,,,,,,,,,,,0
longa-metragem,medição comprida,filme,,,,,,,,,,,0
lua cheia,satélite carregado,lua completa,,,,,,,,,,,0
lua nova,satélite recente,lua,,,,,,,,,,,0
lugar-comum,local público,clichê,,,,,lugar de identificação,,,,,,0
má-fé,crença ruim,maldade,,,,,tratamento desonesto,,,,,,0
magia negra,feitiçaria preta,bruxaria,I,,,,magia feita por pessoas negras,,,,,,0
mão-fechada,palmo cerrado,pão duro,,,,,,,,,,,0
máquina virtual,computador virtual,,,,,None,,It is only used in its literal meaning,,,,,1
mar aberto,oceano acessível,alto mar,,,,,,not enough sentences of the non-literal meaning,,,,,0
maré alta,fluxo elevado,mar alto,,,,,,not enough sentences of the non-literal meaning,,,,,0
maré baixa,fluxo inferior,baixa mar,,,,,,not enough sentences of the non-literal meaning,,,,,0
massa cinzenta,matéria alvacenta,cérebro,,,,,,It is only used in its non-literal meaning,,,,,0
mau contato,tocamento ruim,problema,,,,,,,,,,,0
mau-humor,temperamento ruim,irritação,I,,,,,there are only examples without the hyphen,,,,,0
mau-olhado,observado ruim,inveja,,,,,,It is only used in its non-literal meaning,,,,,0
mercado negro,negócio preto,mercado ilegal,,,,,,It is only used in its non-literal meaning,,,,,0
mesa-redonda,secretária circular,debate,I,,,,,there are only examples without the hyphen,,,,,0
montanha-russa,monte moscovita,brinquedo,,,,,altos e baixos,,,,,,0
navio negreiro,navio de escravos,,I,,,None,,only used in its non-literal meaning,,,,,1
nó cego,laço invisual,nó apertado,,,,,situação complicada,,,,,,0
novo mundo,planeta recente,novidade,,,,modernidade,,not enough sentences of the literal meaning,,,,,0
novo-rico,endinheirado recente,milionário recente,I,,,,,there are only examples without the hyphen,,,,,0
núcleo atômico,cerne nuclear,núcleo,,,,,,It is only used in its literal meaning,,,,,0
olho gordo,vista obesa,inveja,,,,,,It is only used in its non-literal meaning,,,,,0
olho mágico,vista feiticeira,visor,,,,,,,,,,,0
olho nu,vista despida,visão humana,,,,,,It is only used in its literal meaning,,,,,0
ônibus executivo,autocarro administrador,,,,ônibus de alta classe,None,,It is only used in its literal meaning,,,,,1
ovelha negra,borrega preta,diferente,,,,,,not enough sentences of the literal meaning,,,,,0
pão-duro,broa rígida,mão de vaca,,,,,,It is only used in its non-literal meaning,,,,,0
papel higiênico,papel para higienização,,,,,None,,It is only used in its literal meaning,,,,,1
paraíso fiscal,éden tributário,refúgio fiscal,,,,,,It is only used in its non-literal meaning,,,,,0
pastor alemão,pegureiro germânico,cachorro,,,,,,It is only used in its non-literal meaning,,,,,0
pau-mandado,madeiro ordenado,submisso,,,,,,It is only used in its non-literal meaning,,,,,0
pavio curto,mecha pequena,falta de paciência,,,,,,It is only used in its non-literal meaning,,,,,0
pé quente,pata cálida,sortudo,,,,,,It is only used in its non-literal meaning; Not enough sentences,,,,,0
pé-direito,pata destra,altura,I,,,luck/or well,,"the non-literal meaning of ""pé-direito"" is actually ""start with luck or start well"", I didn't understand the use of ""altura"", I think you mistook for the non-literal meaning of ""foot"" in English.There is only examples without the hyphen",,,,,0
pé-frio,pata fresca,azarado,,,,,,It is only used in its non-literal meaning,,,,,0
pente fino,carda estreita,análise minuciosa,,,,,,,,,,,0
peso morto,carga falecida,inútil,,,,,,only used in its non-literal meaning,,,,,0
planta baixa,plano inferior,planta,,,planta pequena,projeto de arquitetura,,only used in its non literal meaning,,,,,0
poção mágica,remédio feiticeiro,elixir,,,elixir com feitiçaria,solução milagrosa,,,,,,,0
pólo-aquático,andebol aquoso,pólo na água,I,,pólo na água,handebol na água,,there is only examples without the hyphen,,,,,0
ponto cego,lugar invisual,ponto oculto,,,ponto oculto,onde se falha,,,,,,,0
ponto forte,lugar duro,qualidade,,,,qualidade marcante,ápice, ,,,,,0
ponto fraco,lugar débil,fraqueza,,,,,,,,,,,0
prato feito,comida realizada,prato pronto,,,,,,,,,,,0
primeira infância,meninice inicial,primeiro ano de vida,,,,primeiros seis anos de vida,,only used in its non-literal meaning,,,,,0
primeira mão,palmo inicial,novidade,I,,,,,,,,,,0
primeira necessidade,exigência inicial,prioridade,,,,indispensável,,only used in its non-literal meaning,,,,,0
primeira-dama,mulher inicial,esposa do presidente,,,,esposa de quem governa,,only used in its non-literal meaning,,,,,0
primeiro ministro,servidor inicial,chefe de estado,I,,ministro inicial,,,there is only examples with hyphen,,,,,0
primeiro plano,nível inicial,destaque,,,,,primeiro momento,,,,,,0
príncipe encantado,infante enfeitiçado,homem perfeito,,,príncipe enfeitiçado,,homem dos sonhos,,,,,,0
processo seletivo,seleção,,,,,None,,only used in its literal meaning,,,,,1
pronto-socorro,assistência rápida,hospital,,,,ala de assistência imediata,,only used in its non-literal meaning,,,,,0
puro-sangue,plasma autêntico,de raça,I,,,,puro,,,,,,0
quadro-negro,painel preto,lousa,I,,,,,there is only examples without the hyphen,,,,only used in its non-literal meaning,0
queda livre,caída liberta,queda,,,,,conceito da física,,,,,,0
quinta categoria,quarta classe,ruim,,,quinta classe,má qualidade,,,,,,,0
rede social,malha comunitária,rede de contatos,,,,,,only used in its non-literal meaning,,,,,0
regime político,sistema político,,,,,None,,,,,,,1
relógio analógico,temporizador análogo,relógio,,,,relógio tradicional,,,,,,,0
relógio biológico,temporizador orgânico,relógio interno,,,,,,only used in its non-literal meaning,,,,,0
reta final,linha última,fim,,,,,,,,,,,0
roda gigante,círculo enorme,brinquedo,,,,brinquedo alto,,,,,,,0
roleta russa,roda moscovita,jogo de azar,,,,,,,,,,,0
saia justa,vestido apertado,situação difícil,,,saia apertada,,,,,,,,0
sala cirúrgica,sala de cirurgia,,,,,None,,,,,,,1
salão paroquial,salão da igreja,,,,,None,,,,,,,1
sangue azul,plasma anil,nobreza,,,,,,,,,,,0
sangue frio,plasma fresco,sem piedade,,,plasma gelado,sem escrúpulos,tranquilidade quando sob pressão,,,,,,0
sangue quente,plasma cálido,raiva,,,,raiva impulsiva,cheio de ardor,,,,,,0
secretária eletrônica,ajudante digital,resposta automática,,,,gravador de mensagens de ligações,,,,,,,0
segundas intenções,estes são propósitos secundários,estas são malícias,,,,objetivos ocultos,,,,,,,0
segundo plano,nível secundário,não prioritário,,,,prioridade secundária,executar de fundo,,,,,,0
sentença judicial,decisão judicial,,,,,None,,,,,,,1
sétima arte,sexta técnica,cinema,,,sétima técnica,,,,,,,,0
sexto sentido,quinto significado,intuição,,,sexta percepção,,,,,,,,0
sinal verde,símbolo esverdeado,aprovação,,,,,,,,,,,0
sistema político,estrutura parlamentar,,,,regime político,None,,,,,,,1
tapete vermelho,alcatifa encarnada,oscar,,,,entrada de evento,prestígio,,,,,,0
tartaruga-marinha,tartaruga do mar,,,,,None,,,,,,,1
tela plana,ecrã liso,tela reta,,,,,,,,,,,0
tempo real,período autêntico,este é ao vivo,,,,no momento,,,,,,,0
terceira idade,terça vida,velhice,,,,,,,,,,,0
terceira pessoa,terça personalidade,narrador externo,,,terço indivíduo,perspectiva externa,indivíduo na terceira posição,,,,,,0
tiro livre,disparo liberto,falta,,,,,tiro de prática,"there are 2 other non-literal meanings, both with few exemples each; I added the exemples for ""disparo sem mirar"" as ""other"" and ""tiro de prática"" as ""meta-usage""",,,,,0
trabalho braçal,tarefa braquial,trabalho manual,,,,,,,,,,,0
trabalho escravo,tarefa prisioneira,trabalho forçado,,,,,,,,,,,0
vaca louca,boi demente,encefalopatia espongiforme,,,,,carne desfiada servida com legumes e saladas,,,,,,0
vinho branco,champanhe alvo,vinho,,,,,,,,,,,0
vinho tinto,champanhe tingido,vinho vermelho,,,,,,,,,,,0
vista grossa,visão espessa,este ignorou,,,,fingir que não viu,,,,,,,0
viva voz,fala ativa,voz alta,I,,fala animada,,,"correção: ""viva-voz""",,,,,0
vôo doméstico,vôo nacional,,I,,,None,This should be a non-literal meaning. ,"correção: ""voo""",,,,,1
vôo internacional,viagem internacional,,I,,,None,,"correção: ""voo""",,,,,1
voto secreto,voto oculto,,,,,None,,,,,,,1
